Rowid_,CELL_ID,COUNT,AREA,MAX
,8899,2,5000.000000000000000,4
,9162,2,5000.000000000000000,1
,9194,2,5000.000000000000000,1
,9232,2,5000.000000000000000,4
,9495,2,5000.000000000000000,1
,9526,2,5000.000000000000000,1
,9563,1,2500.000000000000000,4
,9564,2,5000.000000000000000,4
,9828,2,5000.000000000000000,1
,9858,2,5000.000000000000000,1
,9896,2,5000.000000000000000,4
,10160,1,2500.000000000000000,1
,10161,1,2500.000000000000000,1
,10229,2,5000.000000000000000,4
,10301,2,5000.000000000000000,1
,10302,2,5000.000000000000000,1
,10303,2,5000.000000000000000,1
,10304,2,5000.000000000000000,1
,10305,1,2500.000000000000000,1
,10478,2,5000.000000000000000,1
,10479,2,5000.000000000000000,1
,10493,2,5000.000000000000000,1
,10562,2,5000.000000000000000,4
,10633,2,5000.000000000000000,1
,10638,1,2500.000000000000000,1
,10639,2,5000.000000000000000,1
,10640,2,5000.000000000000000,1
,10809,1,2500.000000000000000,1
,10810,2,5000.000000000000000,1
,10812,2,5000.000000000000000,1
,10825,1,2500.000000000000000,1
,10826,1,2500.000000000000000,1
,10895,2,5000.000000000000000,4
,10966,2,5000.000000000000000,1
,10973,1,2500.000000000000000,1
,10974,1,2500.000000000000000,1
,11142,2,5000.000000000000000,1
,11145,2,5000.000000000000000,1
,11146,2,5000.000000000000000,1
,11149,2,5000.000000000000000,1
,11150,1,2500.000000000000000,1
,11158,2,5000.000000000000000,1
,11228,2,5000.000000000000000,4
,11299,2,5000.000000000000000,1
,11307,1,2500.000000000000000,1
,11308,2,5000.000000000000000,1
,11309,2,5000.000000000000000,1
,11310,2,5000.000000000000000,1
,11311,2,5000.000000000000000,1
,11312,2,5000.000000000000000,1
,11313,2,5000.000000000000000,1
,11314,2,5000.000000000000000,1
,11315,2,5000.000000000000000,1
,11316,2,5000.000000000000000,1
,11470,2,5000.000000000000000,1
,11473,1,2500.000000000000000,1
,11474,2,5000.000000000000000,1
,11475,1,2500.000000000000000,1
,11480,2,5000.000000000000000,1
,11481,2,5000.000000000000000,1
,11483,2,5000.000000000000000,1
,11491,2,5000.000000000000000,1
,11560,2,5000.000000000000000,4
,11632,2,5000.000000000000000,1
,11650,2,5000.000000000000000,1
,11651,2,5000.000000000000000,1
,11797,2,5000.000000000000000,1
,11798,2,5000.000000000000000,1
,11799,2,5000.000000000000000,1
,11800,2,5000.000000000000000,1
,11801,2,5000.000000000000000,1
,11802,2,5000.000000000000000,1
,11804,2,5000.000000000000000,1
,11805,1,2500.000000000000000,1
,11806,1,2500.000000000000000,1
,11816,2,5000.000000000000000,1
,11824,2,5000.000000000000000,1
,11893,2,5000.000000000000000,4
,11964,2,5000.000000000000000,1
,11985,2,5000.000000000000000,1
,12129,2,5000.000000000000000,1
,12137,1,2500.000000000000000,1
,12138,1,2500.000000000000000,1
,12149,1,2500.000000000000000,1
,12150,2,5000.000000000000000,1
,12151,2,5000.000000000000000,1
,12152,2,5000.000000000000000,1
,12153,2,5000.000000000000000,1
,12155,1,2500.000000000000000,1
,12156,2,5000.000000000000000,1
,12157,2,5000.000000000000000,1
,12226,2,5000.000000000000000,4
,12296,2,5000.000000000000000,1
,12319,2,5000.000000000000000,1
,12321,1,2500.000000000000000,1
,12455,1,2500.000000000000000,1
,12456,2,5000.000000000000000,1
,12457,2,5000.000000000000000,1
,12458,1,2500.000000000000000,1
,12460,1,2500.000000000000000,1
,12461,2,5000.000000000000000,1
,12487,2,5000.000000000000000,1
,12488,1,2500.000000000000000,1
,12559,2,5000.000000000000000,4
,12629,2,5000.000000000000000,1
,12653,2,5000.000000000000000,1
,12654,1,2500.000000000000000,1
,12773,1,2500.000000000000000,1
,12787,1,2500.000000000000000,1
